name,url,variant,regular_price,sale_price,scraped_at
YARROW HERB,https://justingredients.co.uk/products/yarrow-herb?_pos=10&_sid=850c5f5b3&_ss=r,100g,£5.79,£4.34,2025-07-27T18:55:11.847938
YARROW HERB,https://justingredients.co.uk/products/yarrow-herb?_pos=10&_sid=850c5f5b3&_ss=r,250g,£11.79,£11.79,2025-07-27T18:55:11.876510
YARROW HERB,https://justingredients.co.uk/products/yarrow-herb?_pos=10&_sid=850c5f5b3&_ss=r,500g,£21.14,£21.14,2025-07-27T18:55:11.901665
WOOD BETONY HERB,https://justingredients.co.uk/products/wood-betony-herb?_pos=11&_sid=850c5f5b3&_ss=r,250g,£15.67,£15.67,2025-07-27T18:55:14.218395
WOOD BETONY HERB,https://justingredients.co.uk/products/wood-betony-herb?_pos=11&_sid=850c5f5b3&_ss=r,500g,£28.14,£28.14,2025-07-27T18:55:14.249465
PLANTAIN HERB POWDER,https://justingredients.co.uk/products/plantain-herb-powder?_pos=12&_sid=850c5f5b3&_ss=r,100g,£7.84,£5.88,2025-07-27T18:55:16.602426
PLANTAIN HERB POWDER,https://justingredients.co.uk/products/plantain-herb-powder?_pos=12&_sid=850c5f5b3&_ss=r,250g,£16.16,£16.16,2025-07-27T18:55:16.629215
PLANTAIN HERB POWDER,https://justingredients.co.uk/products/plantain-herb-powder?_pos=12&_sid=850c5f5b3&_ss=r,500g,£29.08,£29.08,2025-07-27T18:55:16.652465
PLANTAIN HERB POWDER,https://justingredients.co.uk/products/plantain-herb-powder?_pos=12&_sid=850c5f5b3&_ss=r,1kg,£51.84,£51.84,2025-07-27T18:55:16.679607
PASSION FLOWER HERB POWDER,https://justingredients.co.uk/products/passion-flower-herb-powder?_pos=13&_sid=850c5f5b3&_ss=r,250g,£17.33,£17.33,2025-07-27T18:55:18.971225
PASSION FLOWER HERB POWDER,https://justingredients.co.uk/products/passion-flower-herb-powder?_pos=13&_sid=850c5f5b3&_ss=r,500g,£31.19,£31.19,2025-07-27T18:55:19.001966
PASSION FLOWER HERB POWDER,https://justingredients.co.uk/products/passion-flower-herb-powder?_pos=13&_sid=850c5f5b3&_ss=r,1kg,£55.72,£55.72,2025-07-27T18:55:19.031182
GOATS RUE HERB,https://justingredients.co.uk/products/goats-rue-herb?_pos=14&_sid=850c5f5b3&_ss=r,100g,£5.96,£4.48,2025-07-27T18:55:21.390624
GOATS RUE HERB,https://justingredients.co.uk/products/goats-rue-herb?_pos=14&_sid=850c5f5b3&_ss=r,250g,£11.90,£11.90,2025-07-27T18:55:21.418076
GOATS RUE HERB,https://justingredients.co.uk/products/goats-rue-herb?_pos=14&_sid=850c5f5b3&_ss=r,500g,£21.19,£21.19,2025-07-27T18:55:21.442110
GOATS RUE HERB,https://justingredients.co.uk/products/goats-rue-herb?_pos=14&_sid=850c5f5b3&_ss=r,1kg,£37.46,£37.46,2025-07-27T18:55:21.466714
NETTLE HERB POWDER,https://justingredients.co.uk/products/nettle-herb-powder?_pos=15&_sid=850c5f5b3&_ss=r,100g,£8.46,£6.35,2025-07-27T18:55:23.874012
MILK THISTLE HERB POWDER,https://justingredients.co.uk/products/milk-thistle-herb-powder?_pos=16&_sid=850c5f5b3&_ss=r,100g,£8.28,£6.22,2025-07-27T18:55:26.271037
MILK THISTLE HERB POWDER,https://justingredients.co.uk/products/milk-thistle-herb-powder?_pos=16&_sid=850c5f5b3&_ss=r,250g,£17.18,£17.18,2025-07-27T18:55:26.296755
MILK THISTLE HERB POWDER,https://justingredients.co.uk/products/milk-thistle-herb-powder?_pos=16&_sid=850c5f5b3&_ss=r,500g,£30.97,£30.97,2025-07-27T18:55:26.321339
MILK THISTLE HERB POWDER,https://justingredients.co.uk/products/milk-thistle-herb-powder?_pos=16&_sid=850c5f5b3&_ss=r,1kg,£55.32,£55.32,2025-07-27T18:55:26.347555
NETTLE HERB (WITH STEMS),https://justingredients.co.uk/products/nettle-herb-with-stalks?_pos=17&_sid=850c5f5b3&_ss=r,100g,£4.21,£3.16,2025-07-27T18:55:28.666852
NETTLE HERB (WITH STEMS),https://justingredients.co.uk/products/nettle-herb-with-stalks?_pos=17&_sid=850c5f5b3&_ss=r,250g,£8.21,£8.21,2025-07-27T18:55:28.693863
NETTLE HERB (WITH STEMS),https://justingredients.co.uk/products/nettle-herb-with-stalks?_pos=17&_sid=850c5f5b3&_ss=r,500g,£14.51,£14.51,2025-07-27T18:55:28.718412
WORMWOOD,https://justingredients.co.uk/products/wormwood?_pos=18&_sid=850c5f5b3&_ss=r,100g,£4.48,£3.36,2025-07-27T18:55:31.625617
WORMWOOD,https://justingredients.co.uk/products/wormwood?_pos=18&_sid=850c5f5b3&_ss=r,250g,£8.56,£8.56,2025-07-27T18:55:31.653792
WORMWOOD,https://justingredients.co.uk/products/wormwood?_pos=18&_sid=850c5f5b3&_ss=r,500g,£15.05,£15.05,2025-07-27T18:55:31.684583
WORMWOOD,https://justingredients.co.uk/products/wormwood?_pos=18&_sid=850c5f5b3&_ss=r,1kg,£26.20,£26.20,2025-07-27T18:55:31.714493
ROSEMARY,https://justingredients.co.uk/products/rosemary?_pos=19&_sid=850c5f5b3&_ss=r,100g,£4.15,£3.11,2025-07-27T18:55:36.537371
ROSEMARY,https://justingredients.co.uk/products/rosemary?_pos=19&_sid=850c5f5b3&_ss=r,250g,£4.83,£4.83,2025-07-27T18:55:36.612046
ROSEMARY,https://justingredients.co.uk/products/rosemary?_pos=19&_sid=850c5f5b3&_ss=r,500g,£8.19,£8.19,2025-07-27T18:55:36.636729
